i_b,function_name,mse,parameters
1.3524,Gaussian Mixture,3.399557317607105e-05,"[0.2320671912425303, 0.33611695273081565, 0.5584161354921412, 0.47627123463130416, 0.09383667997490287, -0.46861600103865836, 208.49913225608574, 0.3820871860240146, -0.010353354660593839, -0.026792248272366967, -0.004314620576753162]"
1.3524,Sigmoid Mixture,0.00014051298785489053,"[-73.3107061442806, -10153.667871858806, -4393.4057044616675, -113.48698535892771, 0.23759469865203145, -0.022910510747099953, 0.49017393260766934, 0.9994585002897345, -4.555142311873455, 6.409285916691735]"
1.4024,Gaussian Mixture,0.0004434499714989215,"[0.2916119759167713, -0.1359071276567078, 1.1754703623349019, 0.44972383469694277, 0.0660430465746448, -0.3971632717140863, 15.214150913077557, 0.31865353750558456, -0.009459431550105969, 0.006131236067603636, -0.0039974356220588555]"
1.4024,Sigmoid Mixture,0.00015939169679768384,"[-26.31861078831119, -10851.803064667201, -7980.827037194105, -176.34545712787656, 0.23416288026907492, -0.020474430646941072, 0.16706550637237572, 0.2557929291756053, -1.5072736633815222, 3.3859353121900786]"
1.4524,Gaussian Mixture,6.531020335387439e-05,"[1.7191768309137723, -1.218759129248669, 1.0027562994990449, 0.46897865553831075, 0.12873586344310728, 0.5940047296466919, 262.2920612182512, 0.33921288359320034, 0.05995854454468305, -0.07037801827370233, -0.07311621739210596]"
1.4524,Sigmoid Mixture,0.00018776337674353272,"[-21.161524062327956, -3107.39416142789, -6657.690875758606, -33.49479503173741, 0.2677080461352299, -0.0161299967241161, 0.11707234249757509, -1.0957537836805713, -0.8034590389077698, 4.509618255887122]"
1.5024,Gaussian Mixture,0.0001205854641739279,"[0.8959632247948068, -1.528111704240644, 1.4420553582229627, 0.4558597688997324, 0.13047897182909202, 0.28630756678405805, 128.976305892937, 0.3185444951602091, -0.06741343220676138, 0.027422795231205374, -0.010576864026602824]"
1.5024,Sigmoid Mixture,0.00040675545460544527,"[-69.73396220672399, -11846.241247767735, -6540.510479174033, -39.656920343057166, 0.12237139320149228, -0.04153943856450497, 0.08794186707738211, -1.3380044473074921, -0.8953444432117649, 5.345074986717489]"
1.5524,Gaussian Mixture,0.0005337632610462606,"[0.27384979288685696, 0.35652409029795074, 0.5317138834020627, 0.43403740398722035, 0.10382679075312581, -0.5636591045871849, 39.765739261292595, 0.29076211749973035, -0.030912473642569122, 0.0022564843149683106, 0.025540426934632793]"
1.5524,Sigmoid Mixture,0.0004916972829960287,"[-126.50634648751151, -21359.795501372682, -7820.1109536547665, -33.82754441188452, -0.03713429994717779, -0.08950554894657406, 0.143687665237876, 4.46757552306122, -2.137536679833996, 5.495321955340784]"
1.6024,Gaussian Mixture,0.00012039423017995432,"[2.2061987432306873, -1.453308882409911, 1.077899046708832, 0.4496064305189891, 0.1562259100027678, 0.6629951590296335, 174.42642834698802, 0.27243095254489413, -0.0048764030102525936, -0.020909075036710516, -0.02933037325137611]"
1.6024,Sigmoid Mixture,0.00039495990495197475,"[-80.91648774259386, -14687.122963502403, -7470.272495756706, -20.96102338630714, 0.16258262957590047, -0.027531690764766963, 0.12185088644104353, -0.7865107937330905, -3.8973523329368294, 6.460953917619967]"
