i_b,function_name,mse,parameters
1.6524,Gaussian Mixture,0.00015444283781107515,"[0.5105345700256148, -0.03900571889707892, 0.6601382912411322, 0.44666528102743047, 0.16467204452635037, 0.0873739181072267, 158.81502063730375, 0.25109587189752625, 0.003949352346805732, -0.03664523655539864, -0.007066299392650882]"
1.6524,Sigmoid Mixture,0.0005442380206659436,"[-34.57964067124453, -6285.062989622787, -9533.108026599126, -47.51126170193034, -0.03506134945333568, -0.06575684651985056, 0.10028515308342585, 0.8156070587362099, -1.2985305910110827, 6.861877012946181]"
1.7024,Gaussian Mixture,0.00016629953461233526,"[1.2697906839036404, -0.8704327310677562, 0.9451010053603051, 0.43969892684802053, 0.1849051479164699, 0.5259382498076823, 130.4453678725613, 0.22593566876025958, -0.02005403689674137, 0.0039458277719218345, -0.027308395661913065]"
1.7024,Sigmoid Mixture,0.0005898176459595561,"[-68.88213667260217, -2405.716899841499, -6670.542616815673, -19.26725050996952, 0.03449211548350428, -0.05546753140647804, 0.04426238610914471, 0.17416652101307908, -2.215522541705065, 15.353453201498104]"
1.7524,Gaussian Mixture,0.0001958484062924981,"[4.2246631472936205, -2.098643587143414, 1.2486542004714867, 0.43726636320100887, 0.20751299166400627, 0.7065257676619625, 96.46959283111033, 0.20229659434286879, -0.03473178510434094, 0.00941417529680965, -0.024330651954351037]"
1.7524,Sigmoid Mixture,0.0006819365080446005,"[-35.62008185323313, -4379.275870589095, -5148.5005594647155, -57.75704409545032, 0.01930847773476091, -0.03881747901813497, 0.12422023439221033, -0.680400814474966, -0.43767545361368554, 5.881729109736144]"
1.8024,Gaussian Mixture,0.00022325923782773316,"[6.212235878277118, -2.389505661700521, 1.3231965853270609, 0.4283143696807622, 0.2401933626054525, 0.6755194442292183, 91.9424449769611, 0.17118999755833686, 0.023916695410759442, 0.035039474507560495, -0.1262773056708017]"
1.8024,Sigmoid Mixture,0.0007828468224033713,"[-52.25351728973193, -1641.4270454800378, -7055.500049701928, -36.632623925633, 0.020800359673781355, -0.03650056654148398, 0.06013726060101897, -0.8790054087490256, -1.8023666248331982, 12.572338117745819]"
1.8524,Gaussian Mixture,0.0003759171231649816,"[8.999923926199576, -2.671531366094754, 1.537157853925531, 2.465229389100082, 2.0627569284824565, 0.5474796940055181, 26.414428984391606, 0.15579830067913059, 0.009687615718323089, -0.06715369580430894, -0.15946211792767234]"
1.8524,Sigmoid Mixture,0.0009219924104399979,"[-55.197074542775866, -4442.046173965419, -3966.0232323314776, -38.15710105087685, -0.009145133972624954, -0.03759703765268889, 0.10697308623737392, -0.903604008923625, -0.7381939088761635, 7.468725187349028]"
1.9024,Gaussian Mixture,0.00047440396156162024,"[0.6775992002771366, -0.23739237632653604, 0.7744095397996802, 0.4088245781877772, 0.23550019250277088, 0.10289591806751208, 42.565738737377956, 0.1268487870417324, -0.00588017162694764, -0.0035795967728366844, -0.00945021063143129]"
1.9024,Sigmoid Mixture,0.0010823113843798637,"[-49.467926750924136, -2921.1292762193443, -4251.150497556899, -34.41219058695994, -0.12441875939342599, -0.06249770440573445, 0.09187085969532449, -0.2709338108606346, -1.0967180602377131, 9.22523826773197]"
1.9524,Gaussian Mixture,0.0017344154184684157,"[1.0364988069192487, 0.39502797665239564, 0.5007381057388365, 0.35733353395485323, 0.17909222920099233, -0.7561382025444414, 1.3003957777847202, 0.7795987556024613, -0.01795645962459239, -0.003401877776756784, 0.005085910425031079]"
1.9524,Sigmoid Mixture,0.0012912687379866838,"[-57.330524482553145, -2285.8978263728795, -2421.0360175196583, -26.722425345611782, -0.123192043320063, -0.056448095359384706, 0.0975495605284542, -0.6188576316359591, -0.09351917858986096, 8.555938053541713]"
2.0024,Gaussian Mixture,0.0005284135113470256,"[0.29470567834159933, 0.6014422138981044, 0.396975127980566, 0.45818227454284677, 0.37691056696512, -1.82754149144102, 26.32785285762791, 0.06459368642467309, -0.018422668656901516, -0.0038095694941170976, 0.0036077318643572016]"
2.0024,Sigmoid Mixture,0.001760948565788567,"[-49.287760776547834, -2776.6625514401103, -8411.168765485878, -5.964878428130963, -0.10278163215423013, -0.06388101520146552, 0.07604038006474184, -0.7864401167439876, -0.8143969432274267, 11.107485684025985]"
2.0524,Gaussian Mixture,0.0009108443045988679,"[0.4769397870890413, 0.2747339046194448, 0.5129416060991272, 0.40803423126492167, 0.29842141592362736, -0.34933270268163635, 18.882557606542115, -0.08104071750488843, -0.010265743287323636, -0.00034270786903451946, -0.0023478947365987413]"
2.0524,Sigmoid Mixture,0.003157622879371047,"[-53.45308674128309, -16.688521819602094, -30.609427629224037, -25.54999675051836, -0.15079980317539546, -0.03505708438147634, 0.13605138252144405, -0.6742552559962387, -2.589557248335203, 11.96209778575848]"
