i_b,function_name,mse,parameters
1.6524,Gaussian Mixture,0.0008338286424987018,"[0.41124906211864876, 0.6969661635848431, 0.39117255994873024, 0.426052343764381, 0.11436251573849227, -2.224248195909345, 0.20275854560329437, -2.204432876270011, -0.03011459334768676, -0.05744988141582052, -0.0009238578173096187]"
1.6524,Sigmoid Mixture,0.0004644722503144294,"[-112.77464658589128, -9115.790221223591, -4365.092057486978, -195.4215682846071, 0.04708433236798168, -0.03314960744080355, 0.09790821331220578, -0.7731563484343884, -2.240476130330088, 7.251285989791012]"
1.7024,Gaussian Mixture,0.00016918146866373718,"[0.44763792117397727, 0.10243013143746552, 0.6409844513776609, 0.4406208494449066, 0.18374135724911927, -0.07692716678878252, 118.96078990767396, 0.2273906688979157, -0.022345905578460494, 0.0009014943441547317, -0.012637783363306777]"
1.7024,Sigmoid Mixture,0.0007768681389279664,"[-224.2985252759019, -11318.40212684578, -3986.5760964329734, -50.62084807622375, 0.04142912548651924, -0.034620173107804283, 1.1077656231421313, -0.8705805349497728, -3.2491379555832394, 12.410504221298465]"
1.7524,Gaussian Mixture,0.00022484746295958757,"[0.3614772607369262, 0.29537170388222334, 0.5397556635779326, 0.4313326538912685, 0.18113363096523005, -0.46648590826638553, 223.49820652020534, 0.2029594450498265, -0.006892255670937285, -3.315999247192271e-05, -0.005225569131687045]"
1.7524,Sigmoid Mixture,0.0007183006382547319,"[-85.43042330881664, -8878.409203815958, -4227.955193343077, -222.68767734548445, -0.09514330782912218, -0.045655101086889985, 0.2467274685766612, -0.5493568709402296, -6.067906084539969, 8.043206791375992]"
1.8024,Gaussian Mixture,0.0002135817485395819,"[0.40296456858476626, 0.4080095726538554, 0.5884435381494071, 0.43779530105099146, 0.2172741721579261, -0.5417328076451242, 114.97301624921693, 0.1774129415481882, -0.06977738573095121, -0.08096659259077513, 0.0011965180112964223]"
1.8024,Sigmoid Mixture,0.0009514601551927626,"[-63.64970893310589, -19474.116037317453, -6429.030608910518, -551.7657564766805, -0.09988184351863007, -0.03666761467106664, 0.9161202561082, -1.0045753971387184, -1.7882322385601874, 2.8295145431520776]"
1.8524,Gaussian Mixture,0.0002943202562164515,"[0.3368717947940585, 0.3673479604248089, 0.5074597091248969, 0.4098626663206375, 0.21074913935029635, -0.6469455922211624, 125.31490938089578, 0.15527217936932242, -0.03592627381831978, 0.09927385130177242, -0.0053206069407035015]"
1.8524,Sigmoid Mixture,0.001142252003774047,"[-131.13781605543608, -9116.535042937494, -4078.810587202926, -3.1372611676025195, 0.03329480367100725, -0.05517970633672261, 0.5975819403940485, -0.3664273271609097, -4.5918479476560075, 12.405988642147207]"
1.9024,Gaussian Mixture,0.0017327720997855067,"[0.30581083069369497, 0.7207995450455709, 0.37453525507141894, 0.39421391777059744, 0.16852080859065388, -2.5336616324444914, 677.5935546267158, -3.798490505059361, -0.04460841113990462, -0.06813890045133353, 0.002939778178936192]"
1.9024,Sigmoid Mixture,0.0034096618182957172,"[-157.15542860497845, -8046.5589748347975, -3743.1716579897484, -161.0283453017922, 0.033055453092735554, -0.018416968530840808, 0.09621389597114657, 0.2502726706345386, -8.213189974991622, 11.822123051247662]"
1.9524,Gaussian Mixture,0.0003897647256962955,"[0.4727424645733701, 0.21233646718458277, 0.5568756933869912, 0.4188386128623912, 0.24827202667812392, -0.3095981366581493, 72.33480462031793, 0.09349138958584358, 0.006239623276070871, -0.05252439882732973, 0.0007426373991561019]"
1.9524,Sigmoid Mixture,0.006415201351046562,"[-42.73100706307331, 272.2929135825732, -4723.911509167983, -159.78440166809963, 0.12562634370234926, -2.6314311711125856e-07, 1.4943654527300276, -0.017540221067979554, -2.5113149874849894, 22.061843297482564]"
2.0024,Gaussian Mixture,0.00048278970643877983,"[0.3183675193730303, 0.5350364141792108, 0.4237467726453815, 0.41038099673034667, 0.27228491624603246, -1.4119721077557958, 42.20306235659585, 0.04600075568525141, -0.009687640113186072, -0.010040320522303414, 0.0019016145784837935]"
2.0024,Sigmoid Mixture,0.0025446584913879633,"[-151.22632664292254, -14107.466185042493, -2465.903998328043, -61.35364431105832, -0.23299298657554124, -0.05088677776867787, 3.832358078169166, -1.3798722809025463, -0.06644687349079893, 0.6656295361357012]"
2.0524,Gaussian Mixture,0.0008936322992667556,"[0.44099793247573504, 0.3530949435651925, 0.48766680741647217, 0.39747500423997895, 0.3414883846211594, -0.5700536025454954, 8.78791732795317, -0.059352311043533106, -0.011950751148246435, -0.02097813432420431, 0.00047161529706747575]"
2.0524,Sigmoid Mixture,0.008564753457903862,"[-49.834590797124, -16352.565364813267, -4372.174109687035, -218.14148072583174, -0.2339954009340939, -0.055031168486196644, 0.9562636938455648, 1.2563385108205518, 1.5534315532237795, 0.8026889561216343]"
